id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C06750,Nélida Barragán Alfonso,24.0,M,Trujillo,Victor Larco,2020-01-12,Tienda,Masivo
C06827,Constanza Cañas Botella,46.0,M,Arequipa,Cayma,2020-01-12,Web,Masivo
C03698,Juan Carlos Pío Marti Araujo,47.0,M,Arequipa,Yanahuara,2020-01-12,Tienda,Preferente
C11106,Nydia Mancebo,33.0,M,Lima,San Isidro,2020-01-12,Tienda,Masivo
C13480,Josué Medina Nogueira,54.0,M,Piura,Catacaos,2020-01-12,Tienda,Masivo
C06570,Íñigo Balaguer,41.0,M,Lima,Ate,2020-01-12,,Masivo
C01972,Jeremías Ferrer,33.0,M,Cusco,San Sebastian,2020-01-12,Web,Preferente
C09640,Nuria Baños-Colomer,45.0,M,Lima,San Isidro,2020-01-12,App,Masivo
C04174,Edmundo Pintor Lorenzo,31.0,F,Trujillo,Victor Larco,2020-01-12,Tienda,Masivo
C09986,Carmelo del Contreras,35.0,M,Cusco,Cusco,2020-01-13,App,Preferente
C13328,Clarisa Canales Barrio,18.0,M,Arequipa,Yanahuara,2020-01-13,Web,Premium
C10398,Abilio Fiol-Carbonell,33.0,F,Cusco,Cusco,2020-01-13,Tienda,Preferente
C05446,Sigfrido Aparicio Mateo,37.0,F,Lima,Comas,2020-01-13,Web,Preferente
C08518,Paola Benitez-Rincón,40.0,M,Piura,Castilla,2020-01-13,Tienda,Masivo
C01128,Amado Barroso-Cámara,28.0,F,Lima,Comas,2020-01-13,Tienda,Masivo
C06067,Camila Collado Barberá,43.0,No especificado,Trujillo,,2020-01-13,App,Preferente
C01853,Espiridión Borrell Marín,33.0,M,Trujillo,Victor Larco,2020-01-13,Tienda,Masivo
C07731,Coral Casado Mayo,42.0,F,Lima,Comas,2020-01-14,App,Masivo
C02470,Mercedes Villalonga Amorós,30.0,F,Lima,Surco,2020-01-14,Tienda,Masivo
C14909,Diana Chaves-Valentín,31.0,F,Lima,Miraflores,2020-01-14,Tienda,Masivo
C06108,Encarnacion Ámbar Abellán Girón,64.0,F,Trujillo,Victor Larco,2020-01-14,Tienda,Preferente
C05505,Mohamed Gomila Pavón,34.0,F,Trujillo,Trujillo,2020-01-14,Web,Masivo
C05694,Concha Diego Cerdán,46.0,F,Cusco,Cusco,2020-01-15,Web,Masivo
C09038,Rosaura Encarna Valderrama Cuervo,27.0,F,Cusco,Wanchaq,2020-01-15,Tienda,Masivo
C12542,Marcio Cisneros Velázquez,49.0,M,Lima,Surco,2020-01-15,Tienda,Preferente
C04925,David Folch Guzmán,37.0,M,Arequipa,Cercado,2020-01-15,Tienda,Premium
C01353,Leocadia Villalobos Menendez,23.0,M,Trujillo,La Esperanza,2020-01-15,Tienda,Masivo
C02173,Evita Valverde Muro,31.0,M,Cusco,Wanchaq,2020-01-15,Tienda,Masivo
C10377,Dani Pujol Cruz,27.0,M,Arequipa,Cayma,2020-01-15,Web,Masivo
C12399,Onofre Rosell Roselló,42.0,M,Trujillo,Trujillo,2020-01-15,Tienda,Masivo
C12401,Aureliano Hoyos Querol,42.0,M,Trujillo,La Esperanza,2020-01-15,Tienda,Masivo
C14911,Porfirio Gilabert Arenas,47.0,F,Cusco,San Sebastian,2020-01-15,App,Masivo
C14854,Adrián de Alegria,18.0,M,Lima,Los Olivos,2020-01-16,Tienda,Masivo
C09015,Nilo Goñi Seco,34.0,F,Trujillo,El Porvenir,2020-01-16,Tienda,Masivo
C07137,Priscila Francisco,26.0,No especificado,Cusco,San Jeronimo,2020-01-16,Tienda,Masivo
C00562,Ricardo Buendía Bermejo,47.0,No especificado,Lima,Ate,2020-01-16,Tienda,Premium
C07910,Martin Jose Antonio Antón Anguita,32.0,F,Arequipa,Cayma,2020-01-16,Tienda,Preferente
C11773,Ciríaco Olegario Oller Amores,40.0,F,Lima,Comas,2020-01-16,Tienda,Masivo
C08799,Candelario Rius Roig,18.0,F,Lima,Surco,2020-01-16,App,Masivo
C03491,Jose Ignacio de Espejo,53.0,F,Arequipa,Socabaya,2020-01-16,Tienda,Masivo
C08410,Nacio Crespo Bustos,27.0,F,Trujillo,La Esperanza,2020-01-16,Tienda,Masivo
C06775,Zacarías Gimenez Bayona,54.0,F,Lima,San Isidro,2020-01-16,Web,Masivo
C13927,María Cristina Cervantes Palacio,42.0,M,Lima,San Isidro,2020-01-16,Tienda,Preferente
C11459,Berto Iñiguez Campoy,33.0,F,Lima,Comas,2020-01-16,App,Masivo
C03407,Ariel Agustí Palma,58.0,F,Lima,Miraflores,2020-01-16,Tienda,Masivo
C09490,Venceslás Azorin Peñas,41.0,F,Lima,Ate,2020-01-16,Tienda,Masivo
C02819,Jaime Chacón,53.0,F,Arequipa,Cayma,2020-01-17,Tienda,Masivo
C11386,Javier Araujo Campo,55.0,F,Lima,Los Olivos,2020-01-17,Tienda,Premium
C12046,Edelmira Ledesma Ruano,38.0,F,Trujillo,La Esperanza,2020-01-17,Tienda,Premium
C10231,Teodosio Téllez-Lamas,29.0,F,Trujillo,El Porvenir,2020-01-17,Tienda,Premium
C03034,Santiago de Nuñez,40.0,M,Arequipa,Cercado,2020-01-17,,Masivo
C00813,Ana Catalá-Andreu,52.0,F,Arequipa,Cayma,2020-01-18,Tienda,Masivo
C13531,Sonia Bou Maestre,18.0,F,Trujillo,Trujillo,2020-01-18,App,Masivo
C01746,Lidia Mármol-Tejera,18.0,M,Lima,Los Olivos,2020-01-18,Web,Masivo
C06907,Onofre Clavero-Garcia,28.0,F,Lima,Los Olivos,2020-01-18,Tienda,Preferente
C10932,Ruth Sureda-Godoy,25.0,M,Arequipa,Cayma,2020-01-18,Tienda,Masivo
C07642,Dominga Arias-Serra,46.0,F,Lima,Miraflores,2020-01-19,Web,Premium
C04028,Magdalena Castejón Cárdenas,28.0,F,Trujillo,Trujillo,2020-01-19,Tienda,Masivo
C00170,Miguel Ángel Ros Anglada,57.0,F,Piura,Castilla,2020-01-19,Web,Preferente
C03873,Omar Gelabert-Lluch,38.0,F,Arequipa,Yanahuara,2020-01-19,App,Masivo
C07102,Pía Juliá Mínguez,49.0,M,Arequipa,Yanahuara,2020-01-19,Tienda,Preferente
C10511,María Manuela Alarcón Batalla,29.0,F,Lima,Surco,2020-01-19,Tienda,Masivo
C11394,Federico Cortina Viña,32.0,M,Trujillo,El Porvenir,2020-01-20,Tienda,Masivo
C11221,Paz Ferrero Pujadas,40.0,F,Cusco,Cusco,2020-01-20,App,Masivo
C13208,Lisandro Lucas Santos,66.0,F,Arequipa,Cayma,2020-01-20,Tienda,Masivo
C04803,Ligia Requena Cabello,31.0,M,Lima,San Isidro,2020-01-21,Tienda,Masivo
C00056,Heliodoro Santana-Vergara,43.0,F,Piura,Catacaos,2020-01-21,Tienda,Masivo
C01014,Evita Fabregat-Pérez,39.0,M,Lima,Surco,2020-01-21,Tienda,Premium
C13124,Iker Baró Borrás,48.0,F,Lima,Ate,2020-01-21,Tienda,Premium
C05339,Mercedes Pedrosa Milla,,F,Trujillo,Trujillo,2020-01-21,Tienda,Masivo
C03174,Esteban de Gimeno,24.0,F,Trujillo,La Esperanza,2020-01-22,Tienda,Masivo
C07475,Modesto Manuel,50.0,No especificado,Cusco,San Jeronimo,2020-01-22,App,Masivo
C01866,Eugenio Fuster Marcos,36.0,F,Trujillo,La Esperanza,2020-01-22,App,Masivo
C08812,Melania Vicenta Almeida Huertas,57.0,F,Lima,Comas,2020-01-22,Web,Masivo
C06509,Rosalina Pino Zabaleta,48.0,M,Lima,Los Olivos,2020-01-22,Web,Masivo
C10080,Sol Alcaraz-Bernal,54.0,M,Lima,Comas,2020-01-22,Tienda,Masivo
C00010,Lázaro Ricart-Arco,24.0,M,Lima,San Isidro,2020-01-22,Tienda,Masivo
C10606,María Teresa Prado Tormo,52.0,M,Lima,Miraflores,2020-01-22,Tienda,Premium
C06047,Joan Pazos Casals,36.0,F,Lima,Los Olivos,2020-01-22,Web,Masivo
C12631,Florinda Gabaldón Lozano,20.0,M,Lima,Surco,2020-01-23,Web,Masivo
C00711,Elvira Calvo Sanabria,39.0,M,Trujillo,Victor Larco,2020-01-23,Tienda,Preferente
C10315,Micaela Nuñez,56.0,F,Arequipa,Yanahuara,2020-01-23,Tienda,Preferente
C05905,Isabela Silva Céspedes,43.0,F,Lima,Miraflores,2020-01-23,Web,Masivo
C07144,Ruperto Salamanca Leiva,43.0,F,Lima,Ate,2020-01-23,Tienda,Masivo
C03521,Ignacia Florina Pintor Fuertes,43.0,M,Trujillo,Victor Larco,2020-01-23,Tienda,Masivo
C11049,Rómulo Alcalá Flor,35.0,F,Arequipa,Cercado,2020-01-23,Web,Masivo
C04895,Yolanda Roca Viña,37.0,F,Lima,Los Olivos,2020-01-23,Tienda,Premium
C07823,Eutimio Navarro Rueda,31.0,M,Lima,Los Olivos,2020-01-23,Tienda,Masivo
C06141,Emiliano Lucho Carrasco Clavero,49.0,M,Lima,Surco,2020-01-23,Tienda,Masivo
C02022,Dora Roberta Valencia Duque,47.0,M,Arequipa,Cercado,2020-01-23,Tienda,Masivo
C08194,Benigna Ayala Pardo,48.0,M,Lima,Miraflores,2020-01-23,Tienda,Masivo
C09964,Fabiola Lara Lillo,49.0,M,Trujillo,El Porvenir,2020-01-24,Tienda,Masivo
C05634,Eloy Cantón Espejo,30.0,F,Piura,Piura,2020-01-25,App,Premium
C03903,Gervasio Mateo Zorrilla Piñeiro,34.0,F,Piura,Piura,2020-01-25,Tienda,Premium
C02860,Tito Caballero Catalá,28.0,M,Arequipa,Socabaya,2020-01-25,Tienda,Preferente
C01388,Amor Alonso Figueras,40.0,F,Cusco,San Sebastian,2020-01-25,App,Premium
C13273,Consuela Valderrama Pellicer,29.0,F,Lima,San Isidro,2020-01-25,Tienda,Masivo
C07386,Adriana Roma Teruel,57.0,M,Lima,Surco,2020-01-25,App,Premium
C10413,Remigio Plana Agustín,44.0,F,Cusco,Cusco,2020-01-25,Tienda,Preferente
C14849,Graciano Osuna Tormo,43.0,No especificado,Lima,Ate,2020-01-25,Web,Masivo
C09683,Miguela Tejero,35.0,M,Lima,Miraflores,2020-01-25,Tienda,Masivo
C13834,Ema Cal Pellicer,39.0,F,Lima,Los Olivos,2020-01-25,Tienda,Masivo
C00754,Jose Luis Iriarte Casanovas,25.0,M,Arequipa,Socabaya,2020-01-25,Web,Masivo
C09809,María Manuela Terrón-Solana,58.0,M,Trujillo,Trujillo,2020-01-25,Tienda,Masivo
C09702,Clarisa Torrijos Llorens,47.0,M,Lima,San Isidro,2020-01-25,Tienda,Masivo
C08403,Eduardo Gordillo Campillo,34.0,F,Lima,San Isidro,2020-01-26,Tienda,Masivo
C04982,Brunilda Expósito Olmedo,43.0,M,Lima,Comas,2020-01-26,App,Premium
C08234,Abigaíl Jover Cabezas,52.0,F,Lima,Miraflores,2020-01-26,Tienda,Premium
C09743,Salomón Salvador Salamanca,18.0,M,Trujillo,Trujillo,2020-01-26,Tienda,Preferente
C05239,María Jesús Guardiola,41.0,F,Trujillo,El Porvenir,2020-01-26,Web,Masivo
C08794,Macarena Marisela Calvo Díaz,54.0,M,Arequipa,Cayma,2020-01-26,Web,Premium
C14196,Azucena de Casanova,47.0,F,Trujillo,El Porvenir,2020-01-26,Web,Masivo
C05460,Georgina Ruiz Mate,64.0,M,Lima,Surco,2020-01-26,App,Masivo
C12964,Javiera Barceló Porta,30.0,F,Lima,Surco,2020-01-26,Web,Preferente
C01762,Óscar Posada Fortuny,36.0,F,Cusco,San Sebastian,2020-01-26,Tienda,Masivo
C13504,Gerardo Luís Barbero Coello,36.0,M,Lima,Ate,2020-01-26,Tienda,Preferente
C01749,Jordana Polo Puig,25.0,F,Piura,Piura,2020-01-27,Tienda,Masivo
C06675,Felipa Milla Herranz,51.0,F,Lima,Comas,2020-01-27,Tienda,Masivo
C07543,Lidia Jaén Querol,24.0,M,Trujillo,Trujillo,2020-01-27,Tienda,Preferente
C10382,Lupe Joaquín Vega Manuel,42.0,No especificado,Arequipa,Cercado,2020-01-27,App,Preferente
C07898,Sara Narváez Gaya,27.0,F,Lima,San Isidro,2020-01-28,Web,Masivo
C12984,Susana Ayala Santana,25.0,M,Arequipa,Cercado,2020-01-28,Web,Preferente
C11248,Noa Rey,47.0,M,Lima,Los Olivos,2020-01-28,Tienda,Masivo
C13520,Adora Casanova Cornejo,18.0,No especificado,Lima,Comas,2020-01-28,Tienda,Masivo
C04779,Luisa Sara Carbó Lloret,46.0,M,Cusco,San Jeronimo,2020-01-28,Web,Preferente
C02288,Ofelia Iñiguez Castillo,,M,Cusco,Wanchaq,2020-01-28,Tienda,Masivo
C05800,Jose Ignacio Domínguez Ugarte,49.0,M,Lima,Surco,2020-01-29,Tienda,Preferente
C07260,Yéssica Guerrero Aguiló,,F,Piura,Castilla,2020-01-29,Tienda,Masivo
C14657,Loreto Villalba Bautista,48.0,M,Arequipa,Yanahuara,2020-01-29,Web,Preferente
C02377,Rosalva Avilés Prieto,42.0,F,Arequipa,Cercado,2020-01-29,Web,Premium
C06153,Evita Sosa Vaquero,54.0,M,Cusco,San Sebastian,2020-01-29,Tienda,Masivo
C14476,Itziar Muñoz Salazar,33.0,F,Arequipa,Cercado,2020-01-29,Web,Premium
C02887,Ofelia Rodrigo Carrión,55.0,M,Arequipa,Yanahuara,2020-01-29,Web,Masivo
C14549,Emma Ibarra Company,,F,Trujillo,Trujillo,2020-01-29,Tienda,Masivo
C13079,Silvia Bello-Morcillo,37.0,M,Lima,Ate,2020-01-29,Web,Masivo
C14505,Bernabé de Alvarado,37.0,F,Cusco,Cusco,2020-01-29,Web,Masivo
C14895,María Teresa Carpio España,44.0,M,Lima,Ate,2020-01-30,App,Masivo
C12200,Ceferino Gras Bayón,23.0,F,Lima,Surco,2020-01-30,Tienda,Masivo
C14222,Faustino Quintana Llabrés,38.0,M,Lima,Comas,2020-01-30,Web,Masivo
C06880,Margarita Martínez Aroca,18.0,F,Trujillo,El Porvenir,2020-01-30,Web,Masivo
C02988,Ariel Folch Boix,26.0,F,Lima,Los Olivos,2020-01-31,Tienda,Premium
C12115,Inmaculada Pedrero Espejo,23.0,F,Lima,,2020-01-31,Tienda,Preferente
C14643,Jimena Castejón-Canet,18.0,F,Trujillo,Trujillo,2020-01-31,App,Preferente
C14508,Ildefonso Abellán-Lerma,45.0,F,Lima,San Isidro,2020-01-31,Tienda,Preferente
C04094,Domitila Castejón Raya,34.0,F,Lima,Los Olivos,2020-01-31,Tienda,Masivo
C13869,Martirio Larrañaga Miralles,29.0,M,Trujillo,Victor Larco,2020-01-31,Web,Masivo
C09815,Anselma Huguet Carro,40.0,No especificado,Piura,Veintiseis de Octubre,2020-01-31,Tienda,Masivo
C09323,Palmira Hurtado Bravo,31.0,M,Lima,Comas,2020-02-01,Tienda,Preferente
C12481,Crescencia Andrade Llorente,45.0,M,Arequipa,Yanahuara,2020-02-01,Tienda,Masivo
C01478,Manuelita Puente Montenegro,44.0,F,Lima,Surco,2020-02-01,Tienda,Masivo
C06161,Reyes Vega Roda,,M,Trujillo,Victor Larco,2020-02-01,Web,Masivo
C06974,Clarisa Cortés Corominas,32.0,M,Lima,Surco,2020-02-01,Tienda,Masivo
C09109,Anselmo Aragonés Carvajal,40.0,F,Lima,Surco,2020-02-01,Web,Masivo
C12365,Graciela del Barral,37.0,M,Trujillo,Victor Larco,2020-02-01,Tienda,Masivo
C03201,Verónica Soler Seguí,20.0,M,Lima,San Isidro,2020-02-01,Web,Premium
C08108,Cayetana Arteaga,46.0,M,Trujillo,Trujillo,2020-02-01,Web,Masivo
C11570,Crescencia Larrañaga Ariza,64.0,F,Piura,Catacaos,2020-02-01,Tienda,Masivo
C07295,Che del Agudo,48.0,F,Lima,Miraflores,2020-02-01,Tienda,Masivo
C05435,Flavio Vicens Andres,61.0,M,Arequipa,Cayma,2020-02-01,Tienda,Masivo
C00579,Gonzalo Pareja,47.0,F,Trujillo,El Porvenir,2020-02-02,Tienda,Masivo
C09084,Custodia Pinilla,23.0,M,Lima,Miraflores,2020-02-02,App,Masivo
C12381,Petrona Mena Jara,37.0,F,Cusco,San Sebastian,2020-02-02,Web,Masivo
C05671,Vicente José Manuel Amores Quintanilla,41.0,M,Lima,Comas,2020-02-02,Tienda,Masivo
C05494,Conrado Pepito Adadia Giner,53.0,F,Lima,Los Olivos,2020-02-02,Tienda,Masivo
C02041,Belen Mata Reina,53.0,F,Lima,Surco,2020-02-02,Tienda,Masivo
C00821,Gastón Blazquez Tomás,37.0,F,Piura,Castilla,2020-02-02,Tienda,Masivo
C09409,Evaristo Escobar Cortes,51.0,M,Arequipa,Cayma,2020-02-02,Web,Masivo
C04624,Leyre Bernal,19.0,F,Lima,Ate,2020-02-02,,Masivo
C01190,Eusebio Beltran-Mariño,29.0,F,Trujillo,Victor Larco,2020-02-03,Tienda,Masivo
C05942,Juan Manuel del Almazán,46.0,F,Arequipa,Socabaya,2020-02-03,Web,Masivo
C13056,Eleuterio Velasco Planas,18.0,M,Cusco,San Jeronimo,2020-02-03,Tienda,Masivo
C14464,Alex Luís Alcántara,28.0,F,Lima,Miraflores,2020-02-03,App,Masivo
C07415,Flora Alegria,41.0,M,Piura,Piura,2020-02-03,,Masivo
C09908,Josefa del Bustos,35.0,F,Lima,Los Olivos,2020-02-03,Web,Preferente
C03957,Chucho Gordillo-Montaña,30.0,F,Piura,Catacaos,2020-02-03,Tienda,Masivo
C07358,Noelia del Campillo,29.0,M,Lima,Comas,2020-02-03,Web,Masivo
C08020,Elena Mosquera Baena,18.0,F,Trujillo,El Porvenir,2020-02-04,App,Masivo
C12679,Adora Hurtado Novoa,63.0,M,Trujillo,Victor Larco,2020-02-04,Web,Preferente
C11009,Eligia Ferrando,48.0,No especificado,Lima,Miraflores,2020-02-04,Tienda,Preferente
C01919,Jafet Castilla-Borrás,18.0,F,Arequipa,Yanahuara,2020-02-04,Web,Masivo
C02050,Isaac Mir Pavón,49.0,F,Lima,San Isidro,2020-02-04,Web,Masivo
C11391,Dolores Fabregat Zabaleta,40.0,M,Trujillo,Trujillo,2020-02-04,Web,Masivo
C04519,Perlita Valenzuela Acero,26.0,M,Lima,Comas,2020-02-04,Web,Masivo
C12220,Ángel Maestre,43.0,M,Lima,Ate,2020-02-05,Tienda,Masivo
C09146,Ciríaco de Aguiló,59.0,M,Trujillo,El Porvenir,2020-02-05,Tienda,Masivo
C06221,Claudia Mateu-Torrijos,37.0,M,Piura,Piura,2020-02-05,Web,Masivo
C12572,Cebrián Echevarría Verdú,21.0,M,Piura,Catacaos,2020-02-05,Web,Masivo
C10940,Aurelia Samper-Benito,42.0,M,Arequipa,Socabaya,2020-02-05,Tienda,Masivo
C10703,Bruno del Donoso,35.0,M,Trujillo,La Esperanza,2020-02-05,Tienda,Preferente
C06819,Mirta del Amador,32.0,M,Lima,Ate,2020-02-05,Web,Preferente
C13280,Loreto Morales-Sierra,54.0,F,Lima,Miraflores,2020-02-05,App,Masivo
C12121,Macarena del Planas,36.0,M,Lima,Los Olivos,2020-02-06,,Masivo
C05043,Adolfo Peralta Solís,40.0,F,Arequipa,Socabaya,2020-02-06,Web,Masivo
C06134,Custodia Nogués Guardiola,55.0,M,Cusco,Cusco,2020-02-06,Tienda,Masivo
C03025,Adelaida Torralba Gámez,23.0,M,Trujillo,La Esperanza,2020-02-06,Tienda,Masivo
C14783,Basilio Salvador Goicoechea,41.0,No especificado,Lima,Los Olivos,2020-02-06,Tienda,Masivo
C10145,Atilio de Alberdi,,F,Lima,Miraflores,2020-02-06,Web,Masivo
C13705,Rosa Vilaplana Nicolás,42.0,F,Cusco,San Sebastian,2020-02-06,Tienda,Preferente
C13455,Emiliana Olivera Sainz,33.0,F,Piura,Veintiseis de Octubre,2020-02-06,Tienda,Masivo
C08105,Augusto Fabio Pulido Carrera,25.0,M,Arequipa,Cercado,2020-02-06,Tienda,Premium
C04973,Oriana Giménez-Herrero,39.0,M,Lima,Miraflores,2020-02-07,Tienda,Masivo
C09658,Abril Vicens Mármol,47.0,F,Lima,Surco,2020-02-07,App,Preferente
C01431,Casemiro de Rubio,49.0,F,Cusco,San Sebastian,2020-02-07,Tienda,Masivo
C10692,Gerónimo Carbajo Echeverría,31.0,F,Lima,San Isidro,2020-02-07,Tienda,Masivo
C08900,Crescencia Pedrero,48.0,M,Arequipa,Yanahuara,2020-02-07,Tienda,Masivo
C13285,Asdrubal Escamilla Cabello,,F,Cusco,San Sebastian,2020-02-07,Tienda,Preferente
C13910,Teodoro Amando Escobar Quero,48.0,M,Cusco,San Sebastian,2020-02-07,App,Preferente
C04203,Celestina de Daza,28.0,F,Cusco,San Sebastian,2020-02-08,Tienda,Masivo
C13293,Amor Llabrés Olmo,49.0,F,Arequipa,Cayma,2020-02-08,Web,Masivo
